Book Id,ISBN,Lexile Score,Bookshelf,Tags,Wishlist,Started Reading On,Ended Reading On,Pages Read,Read,My Rating,Review,Short note,Advanced note,Signed,Condition,Number of copies,Quotes,Flashcards,Title,Subtitle,Language,Categories,Authors,Illustrators,Translators,Editors,Narrators,Photographers,Publisher,Page Count,Published At,Format,Edition,Series,Volume,Loan Type,Loan Name,Loan Start Date,Loan Due Date,Purchase Type,Purchase From,Purchase Price,Purchase Date,Transfer Type,Transfer place,Transfer Price,Transfer Date,Description,Date added
16522568,9.78134E+12,710L,My books,,0,3/3/2025,3/5/2025,0,1,5,,,,0,,1,,,Three Keys,,en,Asians,Kelly Yang,,,,,,,,1/1/2020,,,,,,,,,,,,,,,,,"""Mia Tang thinks she's going to have the best year ever. She and her parents are the proud owners of the Calivista Motel, she gets to run the front desk with her best friend, Lupe, and she's finally getting somewhere with her writing! But as it turns out, sixth grade is no picnic...""--Portion of back cover.",4/5/2025
2847752,9.78125E+12,780L,My books,,0,3/12/2025,3/15/2025,256,1,2.5,,,,0,,1,,,Lassie Come Home,,en,"Classics,Family,Animal Stories",Eric Knight,Marguerite Kirmse,,,,,Square Fish,256,10/13/2015,paperback,,,,,,,,,,,,,,,,"A beloved classic gets a beautiful new look.

Lassie is Joe's prize collie and constant companion. But when Joe's father loses his job, Lassie must be sold. Three times she escapes from her new owner, and three times she returns home to Joe, until finally she is taken to the remotest part of Scotland—too far a journey for any dog to make alone.

But Lassie is not just any dog.

First published in 1940, Lassie Come-Home has become one of the best-loved dog stories in the world. This beautiful edition showcases the original text and illustrations within a striking new jacket.",4/5/2025
15103890,9.78059E+12,,My books,,0,3/25/2025,4/5/2025,0,1,5,,,,0,,1,,,Redwall,,en,"Action & Adventure,Fantasy & Magic,Audiobooks",Brian Jacques,,,,Ariyon Bakare,,Listening Library,,12/6/2022,audiobook,,Redwall,1,,,,,,,,,,,,,"The book that inspired a legend—the first novel in the bestselling saga of Redwall. 

Welcome to Mossflower Wood, where the gentle mice have gathered to celebrate a year of peace and abundance. All is well…until a sinister shadow falls across the ancient stone abbey of Redwall. It is rumored that Cluny is coming—Cluny, the terrible one-eyed rat and his savage horde—Cluny, who has vowed to conquer Redwall Abbey! The only hope for the besieged mice lies in the lost sword of the legendary Martin the Warrior. And so begins the epic quest of a bumbling young apprentice—a courageous mouse who would rise up, fight back…and become a legend himself. 

“The medieval world of Redwall Abbey—where gallant mouse warriors triumph over evil invaders—has truly become the stuff of legend.”—Seattle Post-Intelligencer",4/5/2025
17247776,9.79889E+12,,My books,,0,3/24/2025,,0,1,,,,,0,,1,,,"The Wild Robot Protects (Wild Robot, 3)",,en,Juvenile Fiction,Peter Brown,,,,,,Youth Large Print,,1/10/2024,,,The Wild Robot,3,,,,,,,,,,,,,"Life for Roz and the animals on their island is wild, natural, harmonious. Her son Brightbill has even found a mate! But then, one day an injured seal washes ashore and warns of dangerous, cloudy waters that are flowing toward the island—and soon the animals are forced inland to fight over dwindling resources.

Roz calms and organizes the animals, but the poison tide takes a terrible toll on the island. And when the robot discovers that her new body is waterproof, she marches into the waves and sets out across the ocean, determined to stop the poison tide.

During her undersea journey, Roz encounters amazing geological formations and incredible creatures, and she sees the devastation caused by the toxic waters. Creatures she meets along the way direct her to a mysterious character known as the Ancient Shark, who explains that the poison tide is caused by a huge station that floats on the waves; a station operated by humans and by robots. To stop them, the Ancient Shark is prepared to attack with an army of sea creatures. However, Roz hopes to find a peaceful solution, instead. Can the wild robot save the ocean and her island and everything she loves?",3/24/2025
14615151,9.79877E+12,,My books,,0,1/8/2025,1/9/2025,304,1,5,,,,0,,1,,,The Rule of Three,,en,Juvenile Fiction,Heather Murphy Capps,,,,,,Carolrhoda Books (R),304,1/1/2024,hardcover,,,,,,,,,,,,,,,,"Wyatt has a three-part Plan for Life, and it starts now, at the beginning of seventh grade, with tryouts for his local travel baseball team. A biracial kid in a mostly white town, he’s always felt like a bit of an outsider. The baseball field is the only place where he feels like he truly belongs. If he can just make the team, everything else will fall into place: school, friends, even his relationship with his often-distant dad.

But after upsetting incidents at tryouts, something inexplicable happens: wisps of smoke form around Wyatt.

As Wyatt tries to figure out what’s causing this mysterious smoke and how to control it, he discovers it’s connected to a painful family history. The more he learns, the more Wyatt begins to question the rules he’s always followed to fit in. With tensions rising at school and on the field, can he face the injustices of the past while keeping his cool in the present?",3/23/2025
237234,9.78001E+12,,My books,,0,8/1/2024,8/5/2024,224,1,5,,,,0,,1,,,"The Magician's Nephew (Chronicles of Narnia, #6)",,en,Juvenile Fiction,C. S. Lewis,,,,,,HarperCollins UK,224,5/5/2009,,,,,,,,,,,,,,,,,"The secret passage to the house next door leads to a fascinating adventure

NARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.

Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory's Uncle Andrew, who thinks he is a magician, sends them hurtling to...somewhere else. They find their way to Narnia, newborn from the Lion's song, and encounter the evil sorceress Jadis before they finally return home.",3/23/2025
2053224,9.78155E+12,,My books,,0,3/6/2025,3/8/2025,208,1,2.5,,,,0,,1,,,"Ways to Grow Love (Ryan Hart, #2)",,en,"Fiction,Family,Society & Social Issues",Renée Watson,Nina Mata,,,,,Bloomsbury Children's Books,208,4/27/2021,hardcover,,Ryan Hart,2,,,,,,,,,,,,,"Newbery Honor and Coretta Scott King Author Award winner Renée Watson continues her charming young middle grade series starring Ryan Hart, a girl who is pure spirit and sunshine.

Ryan Hart and her family are back in another installment of stories about a Black girl finding her way and her voice as she grows through change and challenges. In this book, Ryan finds herself waiting on lots of things -- like for her new sister to be born healthy, for her new recipes to turn out right, for that summer camp trip to go better than she fears! And of course Ryan is facing these new challenges and new experiences in her classic style -- with a bright outlook and plenty of spirit!",3/23/2025
431424,9.78031E+12,,My books,,0,3/18/2025,3/20/2025,320,1,4.5,,,,0,,1,,,Harriet the Spy,,en,"Mystery & Detective,Classics,Picture Books",Louise Fitzhugh,,,,,,Yearling,320,7/1/2009,ebook,,,,,,,,,,,,,,,,"It's no secret that Harriet the Spy is a timeless classic that kids will love! Every day can be an adventure if you just look carefully enough! 

Harriet M. Welsch is a spy. In her notebook, she writes down everything she knows about everyone, even her classmates and her best friends. Then Harriet loses track of her notebook, and it ends up in the wrong hands. Before she can stop them, her friends have read the always truthful, sometimes awful things she’s written about each of them. Will Harriet find a way to put her life and her friendships back together?

""What the novel showed me as a child is that words have the power to hurt, but they can also heal, and that it’s much better in the long run to use this power for good than for evil.""—New York Times bestselling author Meg Cabot",3/20/2025
50274,9.78032E+12,720L,My books,,0,3/17/2025,3/17/2025,288,1,5,,,,0,,1,,,"The Wild Robot Escapes (The Wild Robot, #2)",,en,Juvenile Fiction,Peter Brown,,,,,,"Little, Brown Books for Young Readers",288,3/13/2018,ebook,,The Wild Robot,2,,,,,,,,,,,,,"Shipwrecked on a remote, wild island, Robot Roz learned from the unwelcoming animal inhabitants and adapted to her surroundings--but can she survive the challenges of the civilized world and find her way home to Brightbill and the island?",3/17/2025
31938,9.78032E+12,740L,My books,,0,3/15/2025,3/15/2025,279,1,5,,,,0,,1,,,"The Wild Robot (The Wild Robot, #1)",,en,"Fiction,General,Adventure",Peter Brown,,,,,,"Little, Brown Books for Young Readers",279,4/5/2016,hardcover,,The Wild Robot,1,,,,,,,,,,,,,"When robot Roz opens her eyes for the first time, she discovers that she is alone on a remote, wild island. Why is she there? Where did she come from? And, most important, how will she survive in her harsh surroundings? Roz's only hope is to learn from the island's hostile animal inhabitants. When she tries to care for an orphaned gosling, the other animals finally decide to help, and the island starts to feel like home. Until one day, the robot's mysterious past comes back to haunt her....",3/16/2025
576275,9.78159E+12,1020L,My books,,0,3/15/2025,3/15/2025,232,1,5,,,,0,,1,,,The Pushcart War,50th Anniversary Edition,en,"Middle Grade Books,20th Century,Picture Books",Jean Merrill,Ronni Solbert,,,,,NYR Children's Collection,232,9/16/2014,ebook,,,,,,,,,,,,,,,,"50th Anniversary Edition

Do you know the history of the pushcart war? The REAL history? it’s a story of how regular people banded together and, armed with little more than their brains and good aim defeated a mighty foe.

Not long ago the streets of New York City were smelly, smoggy, sooty, and loud. There were so many trucks making deliveries that it might take an hour for a car to travel a few blocks. People blamed the truck owners and the truck owners blamed the little wooden pushcarts that traveled the city selling everything from flowers to hot dogs. Behind closed doors the truck owners declared war on the pushcart peddlers. Carts were smashed from Chinatown to Chelsea. The peddlers didn’t have money or the mayor on their side, but that didn’t stop them from fighting back. They used pea shooters to blow tacks into the tires of trucks, they outwitted the police, and they marched right up to the grilles of those giant trucks and dared them to drive down their streets. Today, thanks to the ingenuity of the pushcart peddlers, the streets belong to the people—and to the pushcarts.

The Pushcart War was first published fifty years ago. It has inspired generations of children and been adapted for television, radio, and the stage around the world. It was included on School Library Journal’s list of “One Hundred Books That Shaped the Twentieth Century,” and its assertion that a committed group of men and women can prevail against a powerful force is as relevant in the twenty-...",3/15/2025
4442084,9.78153E+12,,My books,,0,,,352,1,,,,,0,,1,,,Spy School Project X,,en,"Children's Action & Adventure Books,Children's Humor,Children's Mystery, Detective, & Spy",Stuart Gibbs,,,,,,Simon & Schuster Books for Young Readers,352,9/6/2022,hardcover,,,,,,,,,,,,,,,,"In the tenth book in the New York Times bestselling Spy School series, Ben Ripley races against time and across state lines—by car, train, boat, and plane—to avoid his new cyber enemies and track down Murray Hill.

Ben Ripley’s longtime nemesis, Murray Hill, has put a price on Ben’s head and accused him of being at the center of a conspiracy on the internet. Now Ben finds himself in his greatest danger yet, on the run from both assassins and conspiracy theorists. 

Ben must find Murray before his machinations catch up to Ben—but with so much at stake, even some of Ben’s most trusted friends might not be at the top of their game, leaving Ben to be tested like never before.",3/4/2025
72,9.78153E+12,850L,My books,,0,,,320,1,,,,,0,,1,,,Spy School British Invasion (Spy School #7),,en,"Fiction,General,Adventure",Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,320,4/30/2019,hardcover,,Spy School,7,,,,,,,,,,,,,"Superspy middle schooler Ben Ripley is finally going to take SPYDER down, once and for all in this latest addition to the New York Times bestselling Spy School series.

Stranded in Mexico after nearly capturing the leaders of SPYDER, thirteen-year-old Ben Ripley desperately needs to take a shower. But even more so, he and his spy school friends need to come up with a new plan to defeat their enemies, their only clue a key that opens…something. 

The Mission: Go rogue from the CIA, join up with the British MI6 to locate the leader of SPYDER, the enigmatic Mr. E, and bring down the evil organization once and for all.

Only it won’t be easy. They’ll have to deal with rival evil splinter factions, devious double-crosses and learning to drive on the opposite side of the road. But they have no other choice: this is their last and final chance to crack the code on SPYDER.",3/4/2025
2943800,9.78153E+12,860L,My books,,0,,,352,1,,,,,0,,1,,,Spy School at Sea,,en,"Adventure,Crime,Humour",Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,352,8/31/2021,hardcover,,Spy School,9,,,,,,,,,,,,,"In the ninth and latest addition to the New York Times bestselling Spy School series, Ben Ripley faces his nemesis, Murray Hill, on the high seas.

Thanks to the evidence Ben uncovered in his investigation of the Croatoan, the CIA has tracked his nemesis, Murray Hill, to Central America, where they believe he is boarding the world’s biggest cruise ship, The Emperor of the Seas, on its maiden voyage around the world.

His mission: Pose as part of a family, with Alexander and Catherine Hale as his parents, Erica as his sister, and his best friend Mike as his brother, to find out what Murray is plotting. 

At first, it sounds exciting to have a mission on the most glamorous ocean liner on earth, but as usual, nothing goes according to plan. There is action, danger, and plenty of surprises as Ben and his team quickly find themselves in hot water.",3/4/2025
12714067,9.78167E+12,,My books,,0,,,352,1,,,,,0,,1,,,Spy School Goes Wild,,en,"Children's Action & Adventure Books,Children's Humor,Children's Mystery, Detective, & Spy",Stuart Gibbs,,,,,,Simon & Schuster Books for Young Readers,352,9/24/2024,hardcover,,Spy School,12,,,,,,,,,,,,,"In the twelfth book in Stuart Gibbs’s New York Times bestselling Spy School series, superspy middle schooler Ben Ripley gets lost on a perilous mission with one of his greatest enemies. Ben Ripley is recruited for a top secret mission to bring down his nemesis, Murray Hill, once and for all. But when things go horribly wrong, Ben ends up lost in an extremely dangerous wilderness with Murray—and confronting a new, devious enemy—with none of his friends to help him. Now, Ben must figure out how to survive and deduce what evil plan his new enemy is plotting in time to thwart it.",3/4/2025
8547732,9.78167E+12,,My books,,0,,,304,1,,,,,0,,1,,,Spy School Goes North,,en,"Children's Action & Adventure Books,Children's Humor,Children's Mystery, Detective, & Spy",Stuart Gibbs,,,,,,Simon & Schuster Books for Young Readers,304,10/3/2023,hardcover,,Spy School,11,,,,,,,,,,,,,"In the eleventh book in the New York Times bestselling Spy School series, Ben Ripley goes on a rescue mission when one of his own is abducted from a remote Alaskan training facility.

Ben Ripley and his friends are training in Alaska when Cyrus Hale is kidnapped by his old Russian nemesis. Ben, Erica, and the others mount a rescue mission, but events quickly spiral out of control in a plot involving the secret history of US-Russian relations, a young KGB agent with skills to rival Erica’s—and lots and lots of bears.",3/4/2025
1275833,9.78148E+12,780L,My books,,0,,,352,1,,,,,0,,1,,,Spy School Goes South,,en,"Adventure,Crime,Humour",Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,352,10/2/2018,hardcover,,Spy School,6,,,,,,,,,,,,,"Ben is taken to Mexico by his nemesis in the hopes that he’ll finally be able to take down SPYDER in this latest addition to the New York Times bestselling Spy School series.

Thirteen-year-old Ben Ripley has been caught in the snares of SPYDER more than once and knows well enough to be suspicious of anything that seems too good to be true—despite needing special tutoring in advanced survival techniques. So when Murray Hill finally breaks his silence with an offer to hand over the SPYDER elite, Ben knows that there must be something going on. But his hesitation doesn’t stop the assignment.

The Mission: Follow Murray Hill to an undisclosed location with no one else but Erica Hale to identify SPYDER leadership. Once found, contact the CIA to sweep in and finish the job. DO NOT CONTACT SPYDER DIRECTLY.

However, as Ben suspected, nothing goes as planned, and what should be an easy mission quickly turns deadly. Now, Ben and Erica will have to face rogue agents, trained killers, and even very hungry crocodiles in a race against the clock to find out what SPYDER is up to this time—and thwart their evil plans.",3/4/2025
63266,9.78144E+12,740L,My books,,0,,,320,1,,,,,0,,1,,,Spy School,,en,"Adventure,Crime,Humour",Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,320,4/2/2013,paperback,,Spy School,1,,,,,,,,,,,,,"Can an undercover nerd become a superstar agent? Ben Ripley sure hopes so—and his life may depend on it!

Ben Ripley may only be in middle school, but he’s already pegged his dream job: C.I.A. or bust. Unfortunately for him, his personality doesn’t exactly scream “secret agent.” In fact, Ben is so awkward, he can barely get to school and back without a mishap. Because of his innate nerdiness, Ben is not surprised when he is recruited for a magnet school with a focus on science—but he’s entirely shocked to discover that the school is actually a front for a junior C.I.A. academy. Could the C.I.A. really want him?

Actually, no. There’s been a case of mistaken identity—but that doesn’t stop Ben from trying to morph into a supercool undercover agent, the kind that always gets the girl. And through a series of hilarious misadventures, Ben realizes he might actually be a halfway decent spy…if he can survive all the attempts being made on his life!",3/4/2025
715720,9.78148E+12,730L,My books,,0,,,384,1,,,,,0,,1,,,Spy Ski School,,en,Crime,Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,384,10/10/2017,paperback,,Spy School,4,,,,,,,,,,,,,"Ben Ripley enrolls in ski school, where the slopes, and the stakes, get really steep in this follow-up to the Edgar Award nominated ""Spy School,"" ""Spy Camp,"" and ""Evil Spy School."" 
Twelve-year-old Ben Ripley is not exactly the best student spy school has ever seen he keeps flunking Advanced Self Preservation. But outside of class, Ben is pretty great at staying alive. His enemies have kidnapped him, shot at him, locked him in a room with a ticking time bomb, and even tried to blow him up with ""missiles."" And he s survived every time. 
After all that unexpected success, the CIA has decided to activate Ben for real. 
The Mission: Become friends with Jessica Shang, the daughter of a suspected Chinese crime boss, and find out all of her father s secrets. Jessica wants to go to ski school in the Rocky Mountains, so a select few spy school students are going skiing too under cover, of course. 
Ben might not be able to handle a weapon (or a pair of skis), but he can make friends easy peasy. That is, until his best friend from home drops in on the trip and jeopardizes the entire mission """,3/4/2025
980659,9.78153E+12,820L,My books,,0,,,352,1,,,,,0,,1,,,Spy School Revolution,,en,"Adventure,Crime,Humour",Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,352,10/6/2020,hardcover,,Spy School,8,,,,,,,,,,,,,"Superspy middle schooler Ben Ripley faces the Croatoan—a new evil organization that’s so mysterious, the only proof it exists is from the American Revolution—in this latest addition to the New York Times bestselling Spy School series.

With SPYDER defeated, Ben Ripley is looking forward to his life getting back to normal, or as normal as possible when you’re a superspy in training. For once, everything seems to be right in Ben’s world...until someone bombs the CIA conference room next door.

To Ben’s astonishment, the attacker is none other than Erica Hale, the spy-in-training he respects more than any other. Ben refuses to believe Erica is working for the enemy...even if the rest of the CIA does.

His mission: prove Erica is not a double agent working against the US, locate the fabled colonial-era insurgent group that’s blackmailing her, figure out what their devious plot is, and thwart it.

But this time, Ben finds himself up against opponents he has never encountered before: his own friends. They’re not as ready to trust in Erica as he is, and Ben is forced to rely on his own wits and skills more than ever before. How can he succeed when he doesn’t even know who he can trust?",3/4/2025
1439906,9.78148E+12,HL820L,My books,,0,,,352,1,,,,,0,,1,,,"Spy School Secret Service (Spy School, #5)",,en,Juvenile Fiction,Stuart Gibbs,,,,,,Simon  Schuster Books for Young Readers,352,10/10/2017,hardcover,,,,,,,,,,,,,,,,"Ben goes undercover in the White House to take on a SPYDER operative determined to assassinate the president in this latest addition to the New York Times bestselling Spy School series.

Thirteen-year-old Ben Ripley has had a lot of field success despite only just beginning his second year at Spy School, something graduates rarely experience. But he’d never have survived without the help from experienced agents and his friends.

Now he’s been called in on a solo mission—and the fate of the United States of America is on his shoulders alone.

The Mission: Prevent a presidential assassination by infiltrating the White House, and locating the enemy operative. But when the president’s son is as helpful as a hamster, and a trained SPYDER agent would never appear to be up to something (they’re far too clever for that), Ben may be in over his head this time.

And when everything goes wrong, Ben must rely on his Spy School friends to save his reputation…but even friends can double-cross or be swayed to the enemy’s side.",3/4/2025
